abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,flavortext
['Overgrow'| 'Chlorophyll'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.
['Overgrow'| 'Chlorophyll'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed Pokémon,63,1059860,1,60,Fushigisouフシギソウ,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
['Overgrow'| 'Chlorophyll'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,Seed Pokémon,123,1059860,2,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
['Blaze'| 'Solar Power'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,4,60,50,65,fire,,8.5,1,0,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
['Blaze'| 'Solar Power'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,5,80,65,80,fire,,19,1,0,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
['Blaze'| 'Solar Power'],0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
['Torrent'| 'Rain Dish'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,43,water,,9,1,0,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
['Torrent'| 'Rain Dish'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle Pokémon,80,1059860,1,59,Kameilカメール,Wartortle,88.1,8,65,80,58,water,,22.5,1,0,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
['Torrent'| 'Rain Dish'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,115,78,water,,85.5,1,0,A brutal Pokemon with pressurized water jets on its shell. They are used for high speed tackles.
['Shield Dust'| 'Run Away'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50,10,20,20,45,bug,,2.9,1,0,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,Metapod,50,11,25,25,30,bug,,9.9,1,0,"This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
['Compoundeyes'| 'Tinted Lens'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50,12,90,80,70,bug,flying,32,1,0,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
['Shield Dust'| 'Run Away'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,Weedle,50,13,20,20,50,bug,poison,3.2,1,0,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,Kakuna,50,14,25,25,35,bug,poison,10,1,0,"Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators."
['Swarm'| 'Sniper'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1,65,Spearスピアー,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
['Keen Eye'| 'Tangled Feet'| 'Big Pecks'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
['Keen Eye'| 'Tangled Feet'| 'Big Pecks'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50,17,50,50,71,normal,flying,30,1,0,"Very protective of its sprawling territorial area, this Pokemon will fiercely peck at any intruder."
['Keen Eye'| 'Tangled Feet'| 'Big Pecks'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
['Run Away'| 'Guts'| 'Hustle'| 'Gluttony'| 'Hustle'| 'Thick Fat'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,Mouse Pokémon,35,1000000,,30,Korattaコラッタ,Rattata,50,19,25,35,72,normal,dark,,1,0,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
['Run Away'| 'Guts'| 'Hustle'| 'Gluttony'| 'Hustle'| 'Thick Fat'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,Mouse Pokémon,70,1000000,,75,Rattaラッタ,Raticate,50,20,40,80,77,normal,dark,,1,0,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
['Keen Eye'| 'Sniper'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50,21,31,31,70,normal,flying,2,1,0,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
['Keen Eye'| 'Sniper'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50,22,61,61,100,normal,flying,38,1,0,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
['Intimidate'| 'Shed Skin'| 'Unnerve'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,Snake Pokémon,44,1000000,2,35,Arboアーボ,Ekans,50,23,40,54,55,poison,,6.9,1,0,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
['Intimidate'| 'Shed Skin'| 'Unnerve'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,Arbok,50,24,65,79,80,poison,,65,1,0,It is rumored that the ferocious warning markings on its belly differ from area to area.
['Static'| 'Lightningrod'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50,25,50,50,90,electric,,6,1,0,"When several of these Pokemon gather, their electricity could build and cause lightning storms."
['Static'| 'Lightningrod'| 'Surge Surfer'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,Mouse Pokémon,50,1000000,,60,Raichuライチュウ,Raichu,50,26,95,85,110,electric,electric,,1,0,Its long tail serves as a ground to protect itself from its own high voltage power.
['Sand Veil'| 'Sand Rush'| 'Snow Cloak'| 'Slush Rush'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,Mouse Pokémon,90,1000000,,50,Sandサンド,Sandshrew,50,27,10,35,40,ground,ice,,1,0,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
['Sand Veil'| 'Sand Rush'| 'Snow Cloak'| 'Slush Rush'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,Mouse Pokémon,120,1000000,,75,Sandpanサンドパン,Sandslash,50,28,25,65,65,ground,ice,,1,0,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
['Poison Point'| 'Rivalry'| 'Hustle'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0,29,40,40,41,poison,,7,1,0,"Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns."
['Poison Point'| 'Rivalry'| 'Hustle'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0,30,55,55,56,poison,,20,1,0,The female�s horn develops slowly. Prefers physical attacks such as clawing and biting.
['Poison Point'| 'Rivalry'| 'Sheer Force'],0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0,31,75,85,76,poison,ground,60,1,0,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
['Poison Point'| 'Rivalry'| 'Hustle'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100,32,40,40,50,poison,,9,1,0,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
['Poison Point'| 'Rivalry'| 'Hustle'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100,33,55,55,65,poison,,19.5,1,0,An aggressive Pokemon that is quick to attack. The horn on its head secretes a powerful venom.
['Poison Point'| 'Rivalry'| 'Sheer Force'],0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100,34,85,75,85,poison,ground,62,1,0,"It uses its powerful tail in battle to smash, constrict, then break the prey�s bones."
['Cute Charm'| 'Magic Guard'| 'Friend Guard'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
['Cute Charm'| 'Magic Guard'| 'Unaware'],0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,fairy,,40,1,0,A timid fairy Pokemon that is rarely seen. It will run and hide the moment it senses people.
['Flash Fire'| 'Drought'| 'Snow Cloak'| 'Snow Warning'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,Fox Pokémon,40,1000000,,38,Rokonロコン,Vulpix,24.6,37,50,65,65,fire,ice,,1,0,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
['Flash Fire'| 'Drought'| 'Snow Cloak'| 'Snow Warning'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,Fox Pokémon,75,1000000,,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,fire,ice,,1,0,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
['Cute Charm'| 'Competitive'| 'Friend Guard'],0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
['Cute Charm'| 'Competitive'| 'Frisk'],0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,Balloon Pokémon,45,800000,1,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,normal,fairy,12,1,0,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
['Inner Focus'| 'Infiltrator'],0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,Zubat,50,41,30,40,55,poison,flying,7.5,1,0,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
['Inner Focus'| 'Infiltrator'],0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,Golbat,50,42,65,75,90,poison,flying,55,1,0,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
['Chlorophyll'| 'Run Away'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50,43,75,65,30,grass,poison,5.4,1,0,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
['Chlorophyll'| 'Stench'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50,44,85,75,40,grass,poison,8.6,1,0,The fluid that oozes from its mouth isn�t drool. It is a nectar that is used to attract prey.
['Chlorophyll'| 'Effect Spore'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50,45,110,90,50,grass,poison,18.6,1,0,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
['Effect Spore'| 'Dry Skin'| 'Damp'],2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,Paras,50,46,45,55,25,bug,grass,5.4,1,0,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
